Node,Color
http://www.w3.org/2002/07/owl#Thing,1
http://sw.opencyc.org/concept/Mx8Ngx4rwEcGC5wpEbGdrcN5Y29ycB4rW7nOMM5ZEduAAAACs2IKfR4rZYTZoM53EduAAAACs2IKfQ,0
http://sw.opencyc.org/concept/Mx4rPAUOuM5bEduAAAACs2IKfQ,0
http://sw.opencyc.org/concept/Mx4rW7nOMM5ZEduAAAACs2IKfQ,0
http://sw.opencyc.org/concept/Mx4rZYTZoM53EduAAAACs2IKfQ,0
http://sw.opencyc.org/concept/Mx4ra6-MDrboEduAAAACs6hRXg,0
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Approve,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Technology,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Computerize,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Policy,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Health,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Importance,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Clinical%20messaging,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Data%20transfer,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Compliance,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Medication%20information,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Prescribing,2
http://http-server.carleton.ca/~rgarigue/ontologies/www.kayvium.com/Regional_registry#Reliability,2
http://sw.opencyc.org/concept/Mx4rOWqq-teGEdmAAAAH6Q2cKw,0
http://sw.opencyc.org/concept/Mx4rvVjELpwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rvVjpUZwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rmGqOUEp4EdefhACgycbRfg,0
http://sw.opencyc.org/concept/Mx4rvVjyK5wpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx4rwIDbkJwpEbGdrcN5Y29ycA,0
http://sw.opencyc.org/concept/Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu9WL9pnCkRsZ2tw3ljb3JwHw2CHiufrIyAbTdB2Idl-_JklnfzHivA_eqKnCkRsZ2tw3ljb3Jw,0
http://sw.opencyc.org/concept/Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rvViAzZwpEbGdrcN5Y29ycA,0
http://www.w3.org/2001/XMLSchema#integer,0
http://micra.com/COSMO/COSMO.owl#Capability,0
http://micra.com/COSMO/COSMO.owl#IntensiveAttributeValue,0
